,city,address,area,floor,name,price,province,rooms,toward,unit,year,origin_url
40,合肥,撮镇-文一名门金隅裕溪路与东风大道交口,31㎡,高层（共19层）,文一名门金隅,24万,安徽,2室1厅,南向,7742元/㎡,2018年建,https://hf.esf.fang.com/chushou/3_404384925.htm
41,合肥,撮镇-文一名门金隅裕溪路与东风大道交口,31㎡,高层（共19层）,文一名门金隅,24万,安徽,2室1厅,南向,7742元/㎡,2018年建,https://hf.esf.fang.com/chushou/3_404384925.htm
42,合肥,骆岗-东二环路与南淝河路交口东南,94㎡,中层（共24层）,金隅大成郡,164万,安徽,3室2厅,南向,17447元/㎡,,https://hf.esf.fang.com/chushou/3_394938120.htm
43,合肥,骆岗-东二环路与南淝河路交口东南,94㎡,中层（共24层）,金隅大成郡,164万,安徽,3室2厅,南向,17447元/㎡,,https://hf.esf.fang.com/chushou/3_394938120.htm
44,合肥,包河工业园-包河区包河大道与西安路交汇处,60㎡,高层（共22层）,合肥南翔茗座,45万,安徽,2室2厅,东向,7500元/㎡,2017年建,https://hf.esf.fang.com/chushou/3_387785990.htm
45,合肥,包河工业园-包河区包河大道与西安路交汇处,60㎡,高层（共22层）,合肥南翔茗座,45万,安徽,2室2厅,东向,7500元/㎡,2017年建,https://hf.esf.fang.com/chushou/3_387785990.htm
46,合肥,生态公园-淮海大道与大众路交口,95㎡,中层（共18层）,正荣·悦都荟,132万,安徽,3室2厅,南向,13895元/㎡,2019年建,https://hf.esf.fang.com/chushou/3_393164052.htm
47,合肥,生态公园-淮海大道与大众路交口,95㎡,中层（共18层）,正荣·悦都荟,132万,安徽,3室2厅,南向,13895元/㎡,2019年建,https://hf.esf.fang.com/chushou/3_393164052.htm
48,合肥,职教城-包公大道与烈山路交口北500米西侧,95㎡,高层（共27层）,碧桂园·正荣悦玺,160万,安徽,3室2厅,南向,16842元/㎡,,https://hf.esf.fang.com/chushou/3_381659536.htm
49,合肥,职教城-包公大道与烈山路交口北500米西侧,95㎡,高层（共27层）,碧桂园·正荣悦玺,160万,安徽,3室2厅,南向,16842元/㎡,,https://hf.esf.fang.com/chushou/3_381659536.htm
50,合肥,生态公园-相城路与淮海大道交口西北角,97㎡,中层（共18层）,保利罗兰香谷,128万,安徽,4室2厅,南向,13196元/㎡,2019年建,https://hf.esf.fang.com/chushou/3_396069617.htm
51,合肥,生态公园-相城路与淮海大道交口西北角,97㎡,中层（共18层）,保利罗兰香谷,128万,安徽,4室2厅,南向,13196元/㎡,2019年建,https://hf.esf.fang.com/chushou/3_396069617.htm
52,重庆,步行街-西滨路(原重钢五六厂),94㎡,中层（共33层）,佳兆业滨江新城,110万,直辖市,3室1厅,北向,11702元/㎡,2016年建,https://cq.esf.fang.com/chushou/3_195157301.htm
53,重庆,步行街-西滨路(原重钢五六厂),94㎡,中层（共33层）,佳兆业滨江新城,110万,直辖市,3室1厅,北向,11702元/㎡,2016年建,https://cq.esf.fang.com/chushou/3_195157301.htm
54,重庆,界石-江南新城天鹿大道,98㎡,高层（共7层）,金科美辰,120万,直辖市,3室2厅,南向,12245元/㎡,2018年建,https://cq.esf.fang.com/chushou/3_195733892.htm
55,重庆,界石-江南新城天鹿大道,98㎡,高层（共7层）,金科美辰,120万,直辖市,3室2厅,南向,12245元/㎡,2018年建,https://cq.esf.fang.com/chushou/3_195733892.htm
56,重庆,茄子溪-大渡口西城大道旁(福茄路),97㎡,中层（共9层）,卓越西麓九里,93万,直辖市,3室2厅,南北向,9588元/㎡,2018年建,https://cq.esf.fang.com/chushou/3_195780313.htm
57,重庆,茄子溪-大渡口西城大道旁(福茄路),97㎡,中层（共9层）,卓越西麓九里,93万,直辖市,3室2厅,南北向,9588元/㎡,2018年建,https://cq.esf.fang.com/chushou/3_195780313.htm
58,重庆,鸳鸯-大雅云居山北部新区金开大道1230号,75㎡,中层（共26层）,大雅云居山,114.5万,直辖市,2室2厅,南北向,15267元/㎡,2016年建,https://cq.esf.fang.com/chushou/3_195855690.htm
59,重庆,鸳鸯-大雅云居山北部新区金开大道1230号,75㎡,中层（共26层）,大雅云居山,114.5万,直辖市,2室2厅,南北向,15267元/㎡,2016年建,https://cq.esf.fang.com/chushou/3_195855690.htm
60,重庆,南岸其他-江南新城金鹿大道南,119㎡,中层（共24层）,璟樾云山,114万,直辖市,4室2厅,南北向,9580元/㎡,2019年建,https://cq.esf.fang.com/chushou/3_195719139.htm
61,重庆,南岸其他-江南新城金鹿大道南,119㎡,中层（共24层）,璟樾云山,114万,直辖市,4室2厅,南北向,9580元/㎡,2019年建,https://cq.esf.fang.com/chushou/3_195719139.htm
62,重庆,观音桥-观音桥步行街洋河一路68号,51㎡,低层（共33层）,新华协信中心,85万,直辖市,1室1厅,东南向,16667元/㎡,2019年建,https://cq.esf.fang.com/chushou/3_195736320.htm
63,重庆,观音桥-观音桥步行街洋河一路68号,51㎡,低层（共33层）,新华协信中心,85万,直辖市,1室1厅,东南向,16667元/㎡,2019年建,https://cq.esf.fang.com/chushou/3_195736320.htm
64,芜湖,南瑞-利民东路中段(原新兴铸管厂地块),100㎡,低层（共30层）,皖新春江明月,104万,安徽,3室2厅,南北向,10400元/㎡,,https://wuhu.esf.fang.com/chushou/3_176036850.htm
65,芜湖,南瑞-利民东路中段(原新兴铸管厂地块),100㎡,低层（共30层）,皖新春江明月,104万,安徽,3室2厅,南北向,10400元/㎡,,https://wuhu.esf.fang.com/chushou/3_176036850.htm
66,合肥,生态公园-正荣·悦都荟淮海大道与大众路交口,120㎡,中层（共14层）,正荣·悦都荟,159万,安徽,4室2厅,南向,13250元/㎡,2019年建,https://hf.esf.fang.com/chushou/3_403072084.htm
67,合肥,生态公园-正荣·悦都荟淮海大道与大众路交口,120㎡,中层（共14层）,正荣·悦都荟,159万,安徽,4室2厅,南向,13250元/㎡,2019年建,https://hf.esf.fang.com/chushou/3_403072084.htm
68,合肥,撮镇-裕溪路与东风大道交口,38.5㎡,低层（共18层）,文一名门金隅,31万,安徽,2室1厅,南向,8052元/㎡,2018年建,https://hf.esf.fang.com/chushou/3_369576394.htm
69,合肥,撮镇-裕溪路与东风大道交口,38.5㎡,低层（共18层）,文一名门金隅,31万,安徽,2室1厅,南向,8052元/㎡,2018年建,https://hf.esf.fang.com/chushou/3_369576394.htm
70,合肥,和平广场-合裕路明光路与全椒路交汇处东南一环交口东北角,84㎡,中层（共33层）,鼎元府邸,175万,安徽,2室2厅,南向,20833元/㎡,2013年建,https://hf.esf.fang.com/chushou/3_373352879.htm
71,合肥,和平广场-合裕路明光路与全椒路交汇处东南一环交口东北角,84㎡,中层（共33层）,鼎元府邸,175万,安徽,2室2厅,南向,20833元/㎡,2013年建,https://hf.esf.fang.com/chushou/3_373352879.htm
72,合肥,四里河路-临泉路与肥西路交口北200米,94㎡,高层（共27层）,合景庐月湾,190万,安徽,3室2厅,南向,20213元/㎡,2019年建,https://hf.esf.fang.com/chushou/3_381646574.htm
73,合肥,四里河路-临泉路与肥西路交口北200米,94㎡,高层（共27层）,合景庐月湾,190万,安徽,3室2厅,南向,20213元/㎡,2019年建,https://hf.esf.fang.com/chushou/3_381646574.htm
74,合肥,撮镇-裕溪路与东风大道交口,37㎡,高层（共18层）,文一名门金隅,29万,安徽,2室1厅,南向,7838元/㎡,2018年建,https://hf.esf.fang.com/chushou/3_403634385.htm
75,合肥,撮镇-裕溪路与东风大道交口,37㎡,高层（共18层）,文一名门金隅,29万,安徽,2室1厅,南向,7838元/㎡,2018年建,https://hf.esf.fang.com/chushou/3_403634385.htm
76,合肥,大蜀山-长江西路与红皖路交汇处北600米,89㎡,中层（共6层）,博威香槟小镇,157万,安徽,3室2厅,南北向,17640元/㎡,2011年建,https://hf.esf.fang.com/chushou/3_402834828.htm
77,合肥,大蜀山-长江西路与红皖路交汇处北600米,89㎡,中层（共6层）,博威香槟小镇,157万,安徽,3室2厅,南北向,17640元/㎡,2011年建,https://hf.esf.fang.com/chushou/3_402834828.htm
78,重庆,茄子溪-大渡口西城大道旁(福茄路),100㎡,中层（共13层）,卓越西麓九里,109.6万,直辖市,4室2厅,东南向,10960元/㎡,2018年建,https://cq.esf.fang.com/chushou/3_195666292.htm
79,重庆,茄子溪-大渡口西城大道旁(福茄路),100㎡,中层（共13层）,卓越西麓九里,109.6万,直辖市,4室2厅,东南向,10960元/㎡,2018年建,https://cq.esf.fang.com/chushou/3_195666292.htm
80,重庆,茶园新区-茶园新区米兰路中段,67.84㎡,高层（共19层）,光华安纳溪湖,82万,直辖市,2室2厅,南北向,12087元/㎡,2016年建,https://cq.esf.fang.com/chushou/3_195892073.htm
81,重庆,茶园新区-茶园新区米兰路中段,67.84㎡,高层（共19层）,光华安纳溪湖,82万,直辖市,2室2厅,南北向,12087元/㎡,2016年建,https://cq.esf.fang.com/chushou/3_195892073.htm
82,重庆,龙头寺-渝北区渝鲁大道777号(火车北站旁),127㎡,高层（共11层）,鲁能星城三街区,199万,直辖市,3室2厅,南向,15669元/㎡,2005年建,https://cq.esf.fang.com/chushou/3_195907568.htm
83,重庆,龙头寺-渝北区渝鲁大道777号(火车北站旁),127㎡,高层（共11层）,鲁能星城三街区,199万,直辖市,3室2厅,南向,15669元/㎡,2005年建,https://cq.esf.fang.com/chushou/3_195907568.htm
84,重庆,五红路-洋河东路3号,116㎡,高层（共23层）,长安丽都,190万,直辖市,3室2厅,南向,16379元/㎡,2007年建,https://cq.esf.fang.com/chushou/3_195531668.htm
85,重庆,五红路-洋河东路3号,116㎡,高层（共23层）,长安丽都,190万,直辖市,3室2厅,南向,16379元/㎡,2007年建,https://cq.esf.fang.com/chushou/3_195531668.htm
86,重庆,蔡家-蔡家半岛.嘉运大道与同康路交汇处,97㎡,高层（共12层）,融创映湖十里,105万,直辖市,3室2厅,东南向,10825元/㎡,2015年建,https://cq.esf.fang.com/chushou/3_195733952.htm
87,重庆,蔡家-蔡家半岛.嘉运大道与同康路交汇处,97㎡,高层（共12层）,融创映湖十里,105万,直辖市,3室2厅,东南向,10825元/㎡,2015年建,https://cq.esf.fang.com/chushou/3_195733952.htm
88,芜湖,大学城-长江南路与红花山路交汇处,131㎡,中层（共34层）,伟星蔚蓝海岸,200万,安徽,3室2厅,南北向,15267元/㎡,,https://wuhu.esf.fang.com/chushou/3_174761112.htm
89,芜湖,大学城-长江南路与红花山路交汇处,131㎡,中层（共34层）,伟星蔚蓝海岸,200万,安徽,3室2厅,南北向,15267元/㎡,,https://wuhu.esf.fang.com/chushou/3_174761112.htm
90,芜湖,政务文化中心-万科城南区安徽省芜湖市鸠江区涌金路南,110㎡,低层（共17层）,万科城南区,128万,安徽,3室2厅,南向,11636元/㎡,2013年建,https://wuhu.esf.fang.com/chushou/3_175049112.htm
91,芜湖,政务文化中心-万科城南区安徽省芜湖市鸠江区涌金路南,110㎡,低层（共17层）,万科城南区,128万,安徽,3室2厅,南向,11636元/㎡,2013年建,https://wuhu.esf.fang.com/chushou/3_175049112.htm
92,芜湖,银泰城-区滨江大道与利民西路交汇处,95.89㎡,低层（共33层）,国贸天琴湾,153万,安徽,2室2厅,南北向,15956元/㎡,,https://wuhu.esf.fang.com/chushou/3_174778356.htm
93,芜湖,银泰城-区滨江大道与利民西路交汇处,95.89㎡,低层（共33层）,国贸天琴湾,153万,安徽,2室2厅,南北向,15956元/㎡,,https://wuhu.esf.fang.com/chushou/3_174778356.htm
94,芜湖,大学城-安徽省芜湖市弋江区乌霞山西路南200米,99.5㎡,高层（共22层）,中央城C区,143万,安徽,2室2厅,南向,14372元/㎡,2009年建,https://wuhu.esf.fang.com/chushou/3_175000314.htm
95,芜湖,大学城-安徽省芜湖市弋江区乌霞山西路南200米,99.5㎡,高层（共22层）,中央城C区,143万,安徽,2室2厅,南向,14372元/㎡,2009年建,https://wuhu.esf.fang.com/chushou/3_175000314.htm
96,芜湖,银泰城-区滨江大道与利民路交汇处,141㎡,低层（共30层）,华仑港湾,210万,安徽,3室2厅,南北向,14894元/㎡,2015年建,https://wuhu.esf.fang.com/chushou/3_173031403.htm
97,芜湖,银泰城-区滨江大道与利民路交汇处,141㎡,低层（共30层）,华仑港湾,210万,安徽,3室2厅,南北向,14894元/㎡,2015年建,https://wuhu.esf.fang.com/chushou/3_173031403.htm
98,芜湖,,,,,,安徽,,,,,
99,芜湖,,,,,,安徽,,,,,
100,合肥,和煦园-茨河路与界首路交口东北角,190㎡,高层（共6层）,合肥唐宁府,358万,安徽,5室3厅,南向,18842元/㎡,2019年建,https://hf.esf.fang.com/chushou/3_390690277.htm
101,合肥,和煦园-茨河路与界首路交口东北角,190㎡,高层（共6层）,合肥唐宁府,358万,安徽,5室3厅,南向,18842元/㎡,2019年建,https://hf.esf.fang.com/chushou/3_390690277.htm
102,合肥,新省府-包河大道与南京路交口,11㎡,中层（共27层）,招商·雍华府,22万,安徽,2室1厅,南向,20000元/㎡,2018年建,https://hf.esf.fang.com/chushou/3_402855640.htm
103,合肥,新省府-包河大道与南京路交口,11㎡,中层（共27层）,招商·雍华府,22万,安徽,2室1厅,南向,20000元/㎡,2018年建,https://hf.esf.fang.com/chushou/3_402855640.htm
104,合肥,生态公园-大众路与涣水路交口西南角,121㎡,中层（共11层）,华地·紫悦府,150万,安徽,4室2厅,南向,12397元/㎡,2019年建,https://hf.esf.fang.com/chushou/3_372747305.htm
105,合肥,生态公园-大众路与涣水路交口西南角,121㎡,中层（共11层）,华地·紫悦府,150万,安徽,4室2厅,南向,12397元/㎡,2019年建,https://hf.esf.fang.com/chushou/3_372747305.htm
106,合肥,生态公园-相城路与淮海大道交口西北角,92㎡,中层（共28层）,保利罗兰香谷,124万,安徽,3室2厅,南北向,13478元/㎡,,https://hf.esf.fang.com/chushou/3_397665773.htm
107,合肥,生态公园-相城路与淮海大道交口西北角,92㎡,中层（共28层）,保利罗兰香谷,124万,安徽,3室2厅,南北向,13478元/㎡,,https://hf.esf.fang.com/chushou/3_397665773.htm
108,合肥,上派-肥西县,92㎡,中层（共28层）,中梁优步学府,124万,安徽,3室2厅,南北向,13478元/㎡,2018年建,https://hf.esf.fang.com/chushou/3_395777406.htm
109,合肥,上派-肥西县,92㎡,中层（共28层）,中梁优步学府,124万,安徽,3室2厅,南北向,13478元/㎡,2018年建,https://hf.esf.fang.com/chushou/3_395777406.htm
110,合肥,科技园-长江路与鸡鸣山路交口西北处,104㎡,低层（共25层）,保利·柏林之春,165万,安徽,3室2厅,南北向,15865元/㎡,,https://hf.esf.fang.com/chushou/3_395725137.htm
111,合肥,科技园-长江路与鸡鸣山路交口西北处,104㎡,低层（共25层）,保利·柏林之春,165万,安徽,3室2厅,南北向,15865元/㎡,,https://hf.esf.fang.com/chushou/3_395725137.htm
112,重庆,龙兴-两江新区龙兴两江大道,111㎡,中层（共6层）,协信哈罗国际,110万,直辖市,4室3厅,南北向,9910元/㎡,2019年建,https://cq.esf.fang.com/chushou/3_195899226.htm
113,重庆,龙兴-两江新区龙兴两江大道,111㎡,中层（共6层）,协信哈罗国际,110万,直辖市,4室3厅,南北向,9910元/㎡,2019年建,https://cq.esf.fang.com/chushou/3_195899226.htm
114,重庆,茄子溪-大渡口西城大道旁(福茄路),102㎡,高层（共8层）,卓越西麓九里,95万,直辖市,3室2厅,东南向,9314元/㎡,2019年建,https://cq.esf.fang.com/chushou/3_195656722.htm
115,重庆,茄子溪-大渡口西城大道旁(福茄路),102㎡,高层（共8层）,卓越西麓九里,95万,直辖市,3室2厅,东南向,9314元/㎡,2019年建,https://cq.esf.fang.com/chushou/3_195656722.htm
116,重庆,区府-翠柏路88号,60㎡,低层（共7层）,翠柏小区,47.5万,直辖市,2室1厅,南向,7917元/㎡,2009年建,https://cq.esf.fang.com/chushou/3_195907967.htm
117,重庆,区府-翠柏路88号,60㎡,低层（共7层）,翠柏小区,47.5万,直辖市,2室1厅,南向,7917元/㎡,2009年建,https://cq.esf.fang.com/chushou/3_195907967.htm
118,重庆,界石-巴南区东城大道南段,94㎡,中层（共18层）,华南城·巴南华府,68万,直辖市,3室2厅,南北向,7234元/㎡,2020年建,https://cq.esf.fang.com/chushou/3_195805131.htm
119,重庆,界石-巴南区东城大道南段,94㎡,中层（共18层）,华南城·巴南华府,68万,直辖市,3室2厅,南北向,7234元/㎡,2020年建,https://cq.esf.fang.com/chushou/3_195805131.htm
120,重庆,礼嘉-重庆华侨城华悦荟天际湾营销中心,37㎡,高层（共19层）,华侨城天际湾,71.5万,直辖市,2室1厅,南北向,19324元/㎡,2020年建,https://cq.esf.fang.com/chushou/3_195803289.htm
121,重庆,礼嘉-重庆华侨城华悦荟天际湾营销中心,37㎡,高层（共19层）,华侨城天际湾,71.5万,直辖市,2室1厅,南北向,19324元/㎡,2020年建,https://cq.esf.fang.com/chushou/3_195803289.htm
122,重庆,双碑-井口镇政府斜对面212国道旁大竹林大桥(规划,125㎡,中层（共26层）,嘉阅滨江,161.7万,直辖市,4室2厅,南北向,12936元/㎡,2018年建,https://cq.esf.fang.com/chushou/3_195786189.htm
123,重庆,双碑-井口镇政府斜对面212国道旁大竹林大桥(规划,125㎡,中层（共26层）,嘉阅滨江,161.7万,直辖市,4室2厅,南北向,12936元/㎡,2018年建,https://cq.esf.fang.com/chushou/3_195786189.htm
124,芜湖,"开发区管委会-银湖北路,裕安路",144㎡,高层（共6层）,宇润人才公寓,84万,安徽,4室2厅,南向,5833元/㎡,2006年建,https://wuhu.esf.fang.com/chushou/3_174649330.htm
125,芜湖,"开发区管委会-银湖北路,裕安路",144㎡,高层（共6层）,宇润人才公寓,84万,安徽,4室2厅,南向,5833元/㎡,2006年建,https://wuhu.esf.fang.com/chushou/3_174649330.htm
126,芜湖,大学城-安徽省芜湖市弋江区中山南路4号站,87.57㎡,高层（共17层）,中央城F区,128万,安徽,2室1厅,南向,14617元/㎡,2000年建,https://wuhu.esf.fang.com/chushou/3_175671467.htm
127,芜湖,大学城-安徽省芜湖市弋江区中山南路4号站,87.57㎡,高层（共17层）,中央城F区,128万,安徽,2室1厅,南向,14617元/㎡,2000年建,https://wuhu.esf.fang.com/chushou/3_175671467.htm
128,芜湖,大学城-美好首玺中山南路与文津西路交汇处(安徽机电职,114㎡,中层（共18层）,美好首玺,140万,安徽,3室2厅,南北向,12281元/㎡,2019年建,https://wuhu.esf.fang.com/chushou/3_175018690.htm
129,芜湖,大学城-美好首玺中山南路与文津西路交汇处(安徽机电职,114㎡,中层（共18层）,美好首玺,140万,安徽,3室2厅,南北向,12281元/㎡,2019年建,https://wuhu.esf.fang.com/chushou/3_175018690.htm
130,芜湖,政务文化中心-安徽省芜湖市鸠江区涌金路南,114㎡,高层（共17层）,万科城南区,145万,安徽,3室2厅,南向,12719元/㎡,2015年建,https://wuhu.esf.fang.com/chushou/3_174616192.htm
131,芜湖,政务文化中心-安徽省芜湖市鸠江区涌金路南,114㎡,高层（共17层）,万科城南区,145万,安徽,3室2厅,南向,12719元/㎡,2015年建,https://wuhu.esf.fang.com/chushou/3_174616192.htm
132,芜湖,龙窝湖-安徽省芜湖市三山区龙窝湖旁(峨山西路以北,87㎡,高层（共18层）,芜湖碧桂园白鹭湾,68万,安徽,2室2厅,南向,7816元/㎡,2000年建,https://wuhu.esf.fang.com/chushou/3_174733539.htm
133,芜湖,龙窝湖-安徽省芜湖市三山区龙窝湖旁(峨山西路以北,87㎡,高层（共18层）,芜湖碧桂园白鹭湾,68万,安徽,2室2厅,南向,7816元/㎡,2000年建,https://wuhu.esf.fang.com/chushou/3_174733539.htm
134,芜湖,大学城-安徽省芜湖市弋江区中山南路4号站,105㎡,低层（共17层）,中央城F区,130万,安徽,3室2厅,南北向,12381元/㎡,2010年建,https://wuhu.esf.fang.com/chushou/3_175908201.htm
135,芜湖,大学城-安徽省芜湖市弋江区中山南路4号站,105㎡,低层（共17层）,中央城F区,130万,安徽,3室2厅,南北向,12381元/㎡,2010年建,https://wuhu.esf.fang.com/chushou/3_175908201.htm
136,上海,嘉兴-武原街道长安北路583-30号(长安路与华丰,83㎡,中层（共18层）,滨海未来城,67万,直辖市,4室2厅,南北向,8072元/㎡,2016年建,https://sh.esf.fang.com/chushou/3_367114177.htm
